N,Годы,Название,Историческая справка,Страна
430,(AD 1826–1871),САКСЕН-КОБУРГ И ГОТА,"САКСЕН-КОБУРГ И ГОТА (AD 1826–1871) Государство, монархическое (Герцогство Саксен-Кобург и Гота). Образовалось на терр. совр. Германии в результате объединения герцогств Саксен-Кобург-Заальфельд и Саксен-Гота-Альтенбург. В 1826–1866 — член Германского союза, в 1867–1871 — член Северогерманского союза. Вошло в состав объединенной Германии. Столицы — Кобург, Гота",Германия
414,(AD 1806–1871),САКСЕН-МЕЙНИНГЕН,"САКСЕН-МЕЙНИНГЕН (AD 1806–1871) Государство, монархическое (Герцогство Саксен-Мейнинген). Образовалось на терр.совр. Германии в результате ликвидации Священной Римской империи (в составе Священной Римской империи образовано в 1680). В 1806–1813 — член Рейнского союза, в 1815–1866 — член Германского союза, в 1867–1871 — член Северогерманского союза. Вошло в состав объединенной Германии. Столица — Мейнинген",Германия
413,(AD 1806–1826),САКСЕН-ХИЛЬДБУРГХАУЗЕН,"САКСЕН-ХИЛЬДБУРГХАУЗЕН (AD 1806–1826) Государство, монархическое (Герцогство Саксен-Хильдбургхаузен). Образовалось на терр. совр.Германиив результате ликвидации Священной Римской империи (в составе Священной Римской империи образовано в 1680). В 1806–1813 — член Рейнского союза, в 1815–1826 — член Германского союза. Присоединено к Герцогству Саксен-Мейнинген. Столица — Хильдбургхаузен",Германия
527,(669–570 BC),САЛАМИН,"САЛАМИН (669–570 BC) Город-государство, греческий. Образовался на терр. совр. Кипра в результате провозглашения независимости от Ассирии. Завоеван Египтом (Древним).По греческой традиции, город был основан после Троянской войны сыном Теламона, лучником Тевкром",Кипр
322,(AD 849–1078),САЛЕРНО,"САЛЕРНО (AD 849–1078) Государство, феодальное, монархическое (Княжество Салерно). Зародилось на терр. совр. Италии в результате отделения от Княжества Беневенто. Присоединено к Герцогству Апулия и Калабрия. Столица — Салерно",Италия
330,(AD 1142–1548),САЛУЦЦО,"САЛУЦЦО (AD 1142–1548) Государство, феодальное, монархическое. (Маркграфство Салуццо). Зародилось на терр. совр. Италии в результате отделения от Священной Римской Империи (формально оставалась в составе Священной Римской Империи). Столица — Салуццо. Завоевано Францией",Италия
12,(900–720 BC),САМАЛЬ,"САМАЛЬ (900–720 BC) Государство, рабовладельческое, форма правления монархия. Зародилось на терр. совр. Турции. Столица — Самаль. Превращено в провинцию Ассирии",Сирия Турция
370,(AD 623–658),САМО,"САМО (AD 623–658) Государство, феодальное, славянское (Княжество Само). Зародилось на терр. совр.Чехии в результате завоевания славянами (вендами) Аварского Каганата. Распалось в результате поражения от аваров",Австрия Венгрия Германия Польша Словакия Словения Хорватия Чехия
715,(700–520 BC),САМОС,"САМОС (700–520 BC) Город-государство, рабовладельческий, монархический. Создан древними греками на терр. совр. Греции (о. Самос). Завоеван Персидской империей Ахеменидов. Город Самос существует по настоящее время.",Греция
102,(AD 1466–1590),САМЦХЕ-СААТАБАГО,"САМЦХЕ-СААТАБАГО (AD 1466–1590) Государство (княжество), грузинское феодальное, монархическое. Столица — Тбилиси. Возникло на терр. совр.Грузии в результате распада Грузинского Царства. Присоединено к Османской Империи.",Грузия Турция
767,(AD 1555–1590),САМЦХЕ-СААТАБАГО (осм.),"САМЦХЕ-СААТАБАГО (осм.) (AD 1555–1590) Государство (княжество), грузинское феодальное, монархическое, вассал Османской империи. Столица — Ахалцихе. Возникло на терр. совр.Грузии в результате разделения Самцхе-Саатабаго на два владения. Вошло в состав Османской империи",Грузия Турция
768,(AD 1555–1590),САМЦХЕ-СААТАБАГО(перс.),"САМЦХЕ-СААТАБАГО (перс.) (AD 1555–1590) Государство (княжество), грузинское феодальное, монархическое, вассал Персидского государства Сефевидов. Возникло на терр. совр. Грузии в результате разделения Самцхе-Саатабаго на два владения. Столица — Ахалцихе. Вошло в состав Османской империи",Грузия Турция
318,(AD 301–),САН-МАРИНО,"САН-МАРИНО (AD 301–) Государство, капиталистическое (Республика Сан-Марино). Образовалось на терр. совр. Сан-Марино святым Марино, бежавшем из Далмации (в современной Хорватии) от религиозных преследований, отелилось от Римской Империи. Столица — Сан-Марино",Сан-Марино
1013,(700 BC – AD 1522),САПОТЕКСКАЯ ЦИВИЛИЗАЦИЯ,"САПОТЕКСКАЯ ЦИВИЛИЗАЦИЯ (700 BC – AD 1522) Одна из древнейших цивилизаций, зародившаяся на терр. совр. Мексики . Столицы — Монте-Альбан (700 BC – AD 700), Митла (AD 700–1400), Заахила-Йо (AD 1400–1522). Завоевана Испанией в 1521, вошла в состав Новой Испании.",Мексика
232,(AD 1018-1142),САРАГОССКИЙ ЭМИРАТ,"САРАГОССКИЙ ЭМИРАТ (AD 1018-1142) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр.Испании в результате распада Кордовского Халифата. Столица — Сарагоса. Завоевано Арагоном",Испания
281,(AD 1720–1861),САРДИНСКОЕ КОРОЛЕВСТВО,"САРДИНСКОЕ КОРОЛЕВСТВО (AD 1720–1861) Государство, монархическое. Зародилось на терр. совр. Италии в результате преобразования Савойского Герцогства и присоединения к нему о. Сардиения. Столица — Турин (де-юре— Кальяри). Вошло в состав объединенной Италии",Италия Франция
90,"(AD 1307–1390},{1402–1405)",САРУХАН,"САРУХАН (AD 1307–1390},{1402–1405) Государство, феодальное. (Образовано в результате отделения от Конийского Султаната. Завоевано Османским Эмиратом},{Восстановлен Государством Тамерлана. Завоевано Османским Эмиратом).",Турция
764,(AD 1491–1858),СВАНЕТИЯ,"СВАНЕТИЯ (AD 1491–1858) Государство, феодальное, монархическое (Княжество Сванетия). Возникло на терр. совр. Грузии в результате отделения от Имеретинского царства. Вошло в состав Российской империи",Грузия
884,(AD 1932–),САУДОВСКАЯ АРАВИЯ,"САУДОВСКАЯ АРАВИЯ (AD 1932–) Государство, теократическое, мусульманское (Королевство Саудовская Аравия). Образовалось на терр. совр.Саудовской Аравии в результате преобразования Королевства Неджд и Хиджаз. Столица — Эр-Рияд",Саудовская Аравия
219,(AD 409–585),СВЕВСКОЕ КОРОЛЕВСТВО,"СВЕВСКОЕ КОРОЛЕВСТВО (AD 409–585) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Португалии в процессе распада Западной Римской Империи. Столицы — Брага, Порто, Мерида. Завоевано Толедским Королевством."">Турции из Османского Эмирата в результате завоеваний в Азии, Европе и Африке. Столица — Стамбул. Распалась в результате поражения в 1-й мировой войне и оккупирована государствами - победителями (Великобритания и Франция)",Испания Португалия
364,(AD 1947–1954),СВОБОДНАЯ ТЕРРИТОРИЯ ТРИЕСТ,"СВОБОДНАЯ ТЕРРИТОРИЯ ТРИЕСТ (AD 1947–1954) Государственное образование, созданное на терр. совр. Италии по решению ООН. Столица — Триест. Поделено между Италией и Югославией",Италия Словения Хорватия
270,(AD 962–1232/1806),СВЯЩЕННАЯ РИМСКАЯ ИМПЕРИЯ,"СВЯЩЕННАЯ РИМСКАЯ ИМПЕРИЯ (AD 962–1232/1806) Государство, феодальное, монархическое (Священная Римская Империя Германской Нации). Зародилось на терр. совр. Германии в результате принятия королем Германского Королевства Оттоном I титула императора. Как реальное государство существовало до AD 1232, распалась на отдельные фактически независимые княжества. Официально была ликвидирована в 1806 в ходе наполеоновских войн","Австрия Бельгия Германия Литва Лихтенштейн Люксембург Монако Нидерланды Польша Россия
Калининград
Словения Франция Хорватия Чехия Швейцария"
158,(4000–3500 BC),СЕБЕННИТ,"СЕБЕННИТ (4000–3500 BC) Город-государство (ном), рабовладельческий, монархический.Создан древними египтянами на терр. совр. Египта. Вошел в состав Нижнего Египта.",Египет
719,(AD 1829–1859),СЕВЕРО-КАВКАЗСКИЙ ИМАМАТ,"СЕВЕРО-КАВКАЗСКИЙ ИМАМАТ (AD 1829–1859) Государство, теократическое, мусульманское. Зародилось на терр. совр. России в результате объединения горских народов Чечни и Дагестана во время Кавказской войны. Завоевано Российской империей. Столицы — Ахульго, Дарго, Ведено.",Россия. (ЮФО)
720,"(AD 1919, сентябрь – 1920, март)",СЕВЕРО-КАВКАЗСКИЙ ЭМИРАТ,"СЕВЕРО-КАВКАЗСКИЙ ЭМИРАТ (AD 1919, сентябрь – 1920, март) Государство, монархическое, мусульманское под протекторатом Османской империи. Образовано на терр. совр. России в результате отделения от Советской России. Вошло в состав Советской России. Столица — Ведено.","Россия, (ЮФО)"
241,(AD 1023-1091),СЕВИЛЬСКИЙ ЭМИРАТ,"СЕВИЛЬСКИЙ ЭМИРАТ (AD 1023-1091) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр. Испании в результате распада Кордовского Халифата. Столица — Севилья, с 1070 — Кордова. Завоевано Государством Альморавидов",Гибралтар Испания Португалия
616,(AD 680–920),СЕЙСИЛЛУГ,"СЕЙСИЛЛУГ (AD 680–920) Государство, феодальное, монархическое. Образовалось на терр. совр. Великобритании (в Уэльсе) в результате переименования Кередигиона. Столица не определена.Объединилось с Диведом в Дехейбарт.",Великобритания
29,"(312–83 BC},{69–64 BC)","СЕЛЕВКИДОВ ГОСУДАРСТВО

Seleucid Empire","ГОСУДАРСТВО СЕЛЕВКИДОВ (312–83 BC},{69–64 BC) Государство, эллинистическое рабовладельческое, монархическое. (Зародилось на терр. совр. Сирии . Образовано в результате распада Империи Александра Македонского. Столицы — Селевкия, Антиохия. Завоевано Великой Арменией}, {Вышло из состава Великой Армении. Включено в состав Римской Республики). Наиболее выдающиеся правители: Селевк I Никатор [356–280 BC], бывший полководец Александра Македонского.",Афганистан Бахрейн Греция Египет Израиль Иордания Ирак Иран Казахстан Киргизстан Кипр Ливан Пакистан Сирия Таджикистан Туркменистан Турция Узбекистан
309,(628–409 BC),СЕЛИНУНТ,"СЕЛИНУНТ (628–409 BC) Город-государство, рабовладельческий, монархический. Основан древними греками на терр. совр. Италии (о. Сицилия). Разрушен Карфагеном",Италия
64,(AD 1038–1157),"СЕЛЬДЖУКСКОЕ ГОСУДАРСТВО

Seljuq Empire","СЕЛЬДЖУКСКОЕ ГОСУДАРСТВО (AD 1038–1157) Государство, феодальное. Образовано кочевыми племенами огузов-сельджуков в результате захвата сев.-зап. части Государства Газневидов (терр. совр. Ирана ). Столицы — Рей (до 1072), Исфахан (с 1072). Прекратил свое существование в результате набегов кочевых племен огузов и завоевания большей части территории Государством Каракитаев","Афганистан Грузия Израиль Иран Иордания Ирак Казахстан Кипр Киргизстан Ливан Пакистан Россия, (ЮФО), Сирия Таджикистан Туркменистан Турция Узбекистан"
589,(AD 2006–),СЕРБИЯ,"СЕРБИЯ (AD 2006–) Государство, капиталистическое, республика. Образовалось на терр. совр. Сербии в результате распада Сербии и Черногории. Столица — Белград",Сербия
588,(AD 2003–2006),СЕРБИЯ И ЧЕРНОГОРИЯ,"СЕРБИЯ И ЧЕРНОГОРИЯ (AD 2003–2006) Государство, капиталистическое, республика. Образовалось на терр. совр. Сербии и Черногории в результате переименования Югославии. Распалось на Сербию и Черногорию. Столица — Белград",Сербия Черногория
581,(AD 1402–1459),СЕРБСКАЯ ДЕСПОТИЯ,"СЕРБСКАЯ ДЕСПОТИЯ (AD 1402–1459) Государство, феодальное, монархическое. Зародилось на терр. совр. Сербии в результате объединения Морвской Сербии, Области Бранковича и Зеты. Завоевано Османским эмиратом. Столицы — Смедерево, Белград",Албания Босния и Герцеговина Сербия Черногория
508,(AD 1346–1371),СЕРБСКОЕ ЦАРСТВО,"СЕРБСКОЕ ЦАРСТВО (AD 1346–1371) Государство, феодальное, монархическое. Зародилось на терр. совр. Сербии в результате объединения сербских княжеств вокруг Королевства Рашка. Столицы — Скопье и Призрен. Распалось на на ряд государств, в т. ч. Моравская Сербия",Албания Болгария Босния и Герцеговина Греция Македония Сербия Хорватия Черногория
201,"(AD 1518–1912},{1956–)",СЕУТА (исп.),"СЕУТА (исп.) (AD 1518–1912},{1956–) Владение Испании. (Образовано на терр. совр. Марокко в результате завоевания Испанией города Сеуты (порт.). Вошло в состав Испанского Марокко},{Вышло из состава Испанского Марокко, включено в состав Испании, с 1995 - Автономный город Сеута",Испания
200,(AD 1415–1580),СЕУТА (порт.),СЕУТА (порт.) (AD 1415–1580) Владение Португалии. Образовано в результате завоевания Португалией города Сеута у Государства Маринидов. Завоевано Испанией (см. Сеута (исп.),Испания
301,(720–510 BC),СИБАРИС,"СИБАРИС (720–510 BC) Город-государство, рабовладельческий, монархический. Основан древними греками на терр. совр.Италии . Разрушен Кротоном. Нарицтельное значение слова «сибарит» возникло из легенды о любви жителей колонии к роскоши.",Италия
726,"(AD 1495–1555},{1572–1598)",СИБИРСКОЕ ХАНСТВО,"СИБИРСКОЕ ХАНСТВО (AD 1495–1555},{1572–1598) Государство, феодальное, монархическое. (Зародилось на терр. совр. России в результате преобразования Тюменского ханства. Попало в вассальную зависимость от Русского царству.},{Восстановило независимость. Завоевано Русским царством). Столица — Кашлык","Россия , (УФО)"
729,(AD 1555–1572),СИБИРСКОЕ ХАНСТВО (рус.),"СИБИРСКОЕ ХАНСТВО (рус.) (AD 1555–1572) Государство, вассал Русского царства. Образовано на терр. совр. России в результате попадания Сибирского в вассальную зависимость от Русского царства. Восстановило независимость. Столица — Кашлык","Казахстан Россия (UFO),"
47,(168 ВС – AD 36),СИДЕ,"СИДЕ (168 ВС – AD 36) Город-государство, рабовладельческий, монархический. Образован на терр. совр. Турции. Вышел из состава Родоса. Завоеван Римской Республикой.",Турция
114,(2000–564 BC),СИДОН,"СИДОН (2000–564 BC) Город-государство, финикийское рабовладельческое . Находился на терр. совр. Ливана. Создан финикийцами. Завоеван Вавилонией",Ливан
339,(AD 1143–1555),СИЕНСКАЯ РЕСПУБЛИКА,"СИЕНСКАЯ РЕСПУБЛИКА (AD 1143–1555) Государство, феодальное, олигархическая республика. Зародилось на терр. совр. Италии в результате отделения от Священной Римской Империи (формально оставалась в составе Священной Римской Империи). Столица — Сиена. Вошло в состав Флорентийского Герцогства",Италия
933,(AD 1799–1849),СИКХСКОЕ ГОСУДАРСТВО,"СИКХСКОЕ ГОСУДАРСТВО (AD 1799–1849) Государство, феодальное, монархическое, индуистское. Зародилось на терр. совр. Индии в результате преобразования Сикхской конфедерации. Столицы — Гуджранвала (1799–1802), Лахор (1802–1849). Завоевано Великобританией и включено в состав владений Британской Ост-Индской компании в Индии",Индия Пакистан
18,(630–183 BC),СИНОПА,"СИНОПА (630–183 BC) Город-государство, рабовладельческий, монархический. Основан древними грекам на терр. совр. Турции. Завоеван Понтийским царством.",Турция
298,(733–241 BC),СИРАКУЗЫ,"СИРАКУЗЫ (733–241 BC) Город-государство, рабовладельческий, монархический. Основан древними греками на терр. совр. Италии (о. Сицилия). Завоеван Римской Республикой. Родина Архимеда {287–212 BC}",Италия
127,"(AD 1946–1958},{1961–)",СИРИЯ,"СИРИЯ (AD 1946–1958},{1961–) Государство, капиталистическое (AD 1946–1958 — Сирийская Республика, с AD 1961 — Сирийская Арабская Республика). (Образовано на терр. совр.Сирии на мандатной территории Лиги наций под управлением Франции Сирии (фр.) 17 апреля 1946 г. Объединилось с Египтом, образовав государство Объединенная Арабская Республика (ОАР)}. {Вышло из состава ОАР). Столица — Дамаск.",Сирия
125,(AD 1918–1920),СИРИЯ (зона брит.-фр. оккупации),"СИРИЯ (зона брит.-фр. оккупации) (AD 1918–1920) Территория, оккупированная государствами-победителями в 1-й мировой войне (Великобритания и Франция). Образована в результате распада Османской Империи. Столица — Дамаск. Разделена на государства Алеппо (фр.), Дамаск (фр.) и Государство Алавитов (фр.)",Ливан Сирия Турция
126,(AD 1925–1946),СИРИЯ (фр.),"СИРИЯ (фр.) (AD 1925–1946) Мандатная территория Лиги наций под управлением Франции (AD 1925–1932, 1939–1941 — Государство Сирия; AD 1932–1939, 1941–1946 — Сирийская Республика). Образована на терр. совр. Сирии в результате объединения государств Алеппо (фр.), Дамаск (фр.). Столица — Дамаск. 17 апреля 1946 г. провозглашена независимая Сирийская Республика",Сирия
159,(4000–3500 BC),СИУТ,"СИУТ (4000–3500 BC) Город-государство (ном), рабовладельческий, монархический. Создан древними египтянами на терр. совр. Египета. Вошел в состав Верхнего Египта.",Египет
320,(AD 965-1091),СИЦИЛИЙСКИЙ ЭМИРАТ,"СИЦИЛИЙСКИЙ ЭМИРАТ (AD 965-1091) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр. Италии в результате отделения от Халифата Фатимидов. Столица — Палермо. Завоевано норманнами, образовавшими Графство Сицилия",Италия Мальта
672,"(585–108 BC},{63 BC – AD 250)",СКИФСКОЕ ЦАРСТВО,"СКИФСКОЕ ЦАРСТВО (585–108 BC},{63 BC – AD 250) Государство, рабовладельческое, монархическое. (Образовано скифскими племенами на терр. совр. Украины. Завоевано Понтийским царством} , {Вернуло независимость. Уничтожено готами). Столица — Неаполь Скифский (со 130 BC)","Молдавия Россия, (ЦФО), (ЮФО), Украина"
467,(AD 1993–),СЛОВАКИЯ,"СЛОВАКИЯ (AD 1993–) Государство, капиталистическое, республика (Словацкая Республика). Образовалось на терр. совр. Словакии в результате распада Чехословакии. Столица — Братислава",Словакия
466,(AD 1939–1945),СЛОВАЦКАЯ РЕСПУБЛИКА (ПЕРВАЯ),"СЛОВАЦКАЯ РЕСПУБЛИКА (ПЕРВАЯ) (AD 1939–1945) Государство, республика, сателлит фашистской Германии. Образовано на терр. совр. Словакии в результате раздела Чехословакии. Вошло в состав Чехословакии. Столица — Братислава",Словакия
475,(AD 1991–),СЛОВЕНИЯ,"СЛОВЕНИЯ (AD 1991–) Государство, капиталистическое, республика (Республика Словения). Образовалось на терр. совр. Словении в результате выхода из Югославии. Столица — Любляна",Словения
45,(190–133 BC),СМИРНА,"СМИРНА (190–133 BC) Город-государство, рабовладельческий, монархический. Образован на терр. совр. Турции. Вышел из состава Государства Селевкидов. Завоеван Римской Республикой. Как город существует до нашего времени, современное турецкое название Измир.",Турция
657,(AD 1127–1404),СМОЛЕНСКОЕ КНЯЖЕСТВО,"СМОЛЕНСКОЕ КНЯЖЕСТВО (AD 1127–1240) Государство, феодальное, славянское. Зародилось на терр. совр. России в результате отделения от Киевской Руси (в составе Киевской Руси существовало с 1010). Попало под татаро-монгольское иго. Столица — Смоленск",Белоруссия Россия Россия (ЦФО)
686,(AD 1240–1404),СМОЛЕНСКОЕ КНЯЖЕСТВО (иго),"СМОЛЕНСКОЕ КНЯЖЕСТВО (иго) (AD 1240–1404) Государство, феодальное, славянское. Вассал Золотой Орды. Образовано на терр. совр. России в результате попадания Смоленского княжества под татаро-монгольское иго. Вошло в состав Великого княжества Литовского. Столица — Смоленск",Россия Россия (ЦФО) Белоруссия
433,(AD 1945–1949),СОВЕТСКАЯ ЗОНА ОККУПАЦИИ ГЕРМАНИИ,"СОВЕТСКАЯ ЗОНА ОККУПАЦИИ ГЕРМАНИИ (AD 1945–1949) Образовалось на терр. совр. Германии . Часть территории Германии, оккупированная СССР в результате поражения Германии во 2-й мирвой войне. На территории зоны провозглашена Германская Демократическая Республика. Штаб квартира оккупационных войск — Берлин.",Германия
106,"(AD 1917, октябрь–1922)",СОВЕТСКАЯ РОССИЯ(РСФСР),"СОВЕТСКАЯ РОССИЯ (РСФСР) (AD 1917, октябрь–1922) Государство, социалистическое. Образовано на терр. совр. России в результате государственного переворота (Октябрьская революция) в Российской Республике. Столица — Москва. 30 декабря 1922 года преобразован в СССР путём объединения РСФСР, УССР(Украины), БССР (Белоруссии) и ЗСФСР(Закавказской Социалистической Федерати?вной Советской Республики). Столицы — Петроград (до 1918), Москва","Белоруссия Грузия Казахстан Киргизстан Латвия Литва Молдавия Польша Россия, (ДФО), (ЦФО), (СЗФО), (СибФО), (УФО), (ПФО), (ЮФО), Таджикистан Туркменистан Турция Узбекистан Украина Финляндия Эстония"
438,(AD 1945–1949),СОВЕТСКИЙ СЕКТОР ОККУПАЦИИ БЕРЛИНА,"СОВЕТСКИЙ СЕКТОР ОККУПАЦИИ БЕРЛИНА (AD 1945–1949) Образовалось на терр. совр. Германии . Часть территории Берлина, оккупированная СССР в результате поражения Германии во 2-й мировой войне. Вошла в состав Германской Демократической Республики.",Германия
808,(AD 700–550 BC),"СОГД

Sogd","СОГД (AD 700–550 BC) Государство, рабовладельческое, монархическое. Зародилось на терр. совр.Узбекистана в результате формирования государства у согдийцев. Столицы — Мараканда. Завоевано Персидской империей Ахеменидов.",Афганистан Казахстан Киргизстан Таджикистан Узбекистан
911,(AD 1507–1511),"СОКОТРА (порт.)





SOCOTRA (Port.)","СОКОТРА (порт.) (AD 1507–1511) Владение Португалии. Зародилось на терр. совр. Йемена в результате завоевания о. Сокотра Португалией. Португалия покинула остров. Столица — Сук

SOCOTRA (Port.) (AD 1506–1511) Possession of Portugal. Arose in the territory of Yemen as a result of the conquest Socotra by Portugal. Portugal left the island. Capital — Suk",Йемен
682,(AD 1365–1475),СОЛДАЙЯ (генуэз.),"СОЛДАЙЯ (генуэз.) (AD 1365–1475) Город-государство, колония Генуэзской республики. Зародился на терр. совр. Украины в результате отделения от Золотой орды. Завоеван Османской империей. Современный город Судак",Украина
528,(669–570 BC),СОЛЫ,"СОЛЫ (669–570 BC) Город-государство, греческий. Образовался на терр. совр. Кипра в результате провозглашения независимости от Ассирии. Завоеван Египтом (Древним)",Кипр
40,(190–94 BC),СОФЕНА,"СОФЕНА (190–94 BC) Государство, армянское рабовладельческое. Образовано на терр. совр. Турции. Отделилось от Государства Селевкидов. Включено в состав Великой Армении.",Турция
484,"(1050–331 ВС},{280–195 ВС},{147–146 BC)",СПАРТА,"СПАРТА (1050–331 ВС},{280–195 ВС},{147–146 BC) Город-государство, рабовладельческая аристократическая республика (с 884 ВС фактически превратился в государство). (Зародился на терр. совр. Греции после захвата п-ова Пелопоннес дорийцами. Завоеван Македонией (Древней)},{Вышел из состава Македонии (Древней). Вошел в состав Ахейского Союза},{Вышел из состава Ахейского Союза. Вошел в состав Римской Республики)",Греция
292,(600–218 BC),СПИНА,"СПИНА (600–218 BC) Город-государство, рабовладельческий, монархический. Основан этрусками на терр. совр. Италии. Завоеван Римской Республикой",Италия
261,(AD 843–855),СРЕДИННОЕ ФРАНКСКОЕ КОРОЛЕВСТВО,"СРЕДИННОЕ ФРАНКСКОЕ КОРОЛЕВСТВО (AD 843–855) Государство, феодальное, монархическое. Зародилось на терр. совр. Германии в результате раздела Франкского Государства. Столица — Ахен. Разделено между Западно-Франкским Королевством, Восточно-Франкским Королевством и Лотарингией",Бельгия Германия Италия Люксембург Монако Нидерланды Словения Франция Хорватия Швейцария
786,"(AD 1920–1922, март)",ССР АРМЕНИЯ,"ССР АРМЕНИЯ (AD 1920–1922, март) Государство, социалистическое (Социалистическая Советская Республика Армения). Образовано на терр. совр. Армении в результате установления советской власти в Республике Армения. Столица — Ереван. Вошло в состав Закавказской СФСР",Армения Турция
660,"(AD 1919, январь –1919, февраль},{1919, август – 1922)",ССР БЕЛОРУССИЯ,"ССР БЕЛОРУССИЯ (AD 1919, январь –1919, февраль},{1919, август – 1922) Государство, социалистическое. (Советская Социалистическая Республика Белоруссия). (Образовано на терр. совр. Белоруссии в результате освобождения от германской оккупации и признания независимости Советской Россией. Объединилась с ССР Белоруссия в Литовско-Белорусскую ССР}.{Воссоздана. Вошла в состав СССР). Столица — Минск.",Белоруссия
1000,(AD 1783–),США,"США (AD 1783–) Государство, капиталистическое (Соединенные Штаты Америки). Образовано на терр. совр. США в результате провозглашения тринадцатью колониями Великобритании независимости (Декларация независимости была принята 4 июля 1776). Столица — Вашингтон",США
463,(1922–1991),СОЮЗ СОВЕТСКИХ СОЦИАЛИСТИЧЕСКИХ РЕСПУБЛИК (СССР),"СОЮЗ СОВЕТСКИХ СОЦИАЛИСТИЧЕСКИХ РЕСПУБЛИК (СССР) (1922–1991) Государство, социалистическое. Образовано на терр. совр. России, Украины, Белоруссии, Грузии, Армении и Азербайджана путем объединения РСФСР, УССР (Украины), БССР (Белоруссии) и ЗСФСР (Закавказской Социалистической Федеративной Советской Республики). Распался на 15 независимых государств. Столица — Москва","Белоруссия Грузия Казахстан Киргизстан Латвия Литва Молдавия Польша Россия, (Калининград), (ДФО), (ЦФО), (СЗФО), (СибФО), (ПФО), (УФО), (ЮФО), Таджикистан Туркменистан Узбекистан Украина Эстония"
597,(AD 410–889),СТРАТКЛАЙД,"СТРАТКЛАЙД (AD 410–889) Государство, феодальное, монархическое. Основано на терр. совр. Великобритании (на юге Шотландии) вождем бриттского племени Керетиком. Столица — Дан-Британн. Вошло в состав Шотландии.",Великобритания
258,(AD 476-486),СУАССОНСКОЕ КОРОЛЕВСТВО,"СУАССОНСКОЕ КОРОЛЕВСТВО (AD 476-486) Государство, феодальное, монархическое. Зародилось на терр. совр.Франции в результате распада Западной Римской Империи. Столица — Суассон. Завоевано Франкским государством.",Франция
134,(AD 1922–1927),СУВЕЙДА (фр.),СУВЕЙДА (фр.) (AD 1922–1927) Мандатная территория Лиги наций под управлением Франции (Государство Сувейда). Образована на терр. совр. Сирии в результате переименования Джебель-Друза (фр.). Столица — Эс-Сувейда. Переименована в Джебель-Друз (фр.),Сирия
983,(AD 1518–1687),СУЛТАНАТ ГОЛКОНДА,"СУЛТАНАТ ГОЛКОНДА (AD 1518–1687) Государство, феодальное, монархическое. Зародилось на терр. совр. Индии в результате отделения от Бахманидского султаната. Столицы — Голконда. Завоевано Империей Великих Моголов",Индия
205,(AD 1666-1912),СУЛТАНАТ МАРОККО,"СУЛТАНАТ МАРОККО (AD 1666-1912) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр.Марокко в результате преобразования Государства Алауитов. Столицы — Фес, Рабат. В результате войн с Францией и Испанией разделено на Марокко (фр.), Испанское Марокко и Танжер (международная зона)",Марокко
882,(AD 1921–1926),СУЛТАНАТ НЕДЖД,"СУЛТАНАТ НЕДЖД (AD 1921–1926) Государство, теократическое, мусульманское. Образовалось на терр. совр.Саудовской Аравии в результате объединения Эмирата Неджд и Хаса и Джебель-Шаммара. Столица — Эр-Рияд. Вошло в состав Королевства Неджд и Хиджаз",Саудовская Аравия
602,(AD 477–825),СУССЕКС,"СУССЕКС (AD 477–825) Государство, феодальное, монархическое (Королевство Суссекс). Основано саксами на терр. совр. Великобритании (в юго-восточной Англии). Столица — Селсей. Присоединено к Уэссексу.",Великобритания
777,(AD 987–1170),СЮНИКСКОЕ ЦАРСТВО,"СЮНИКСКОЕ ЦАРСТВО (AD 987–1170) Государство, армянское феодальное, монархическое. Зародилось на терр. совр. Армении в результате отделения от Анийского царства. Завоевано Атабекством Азербайджан. Столица — Капан",Азербайджан Армения
7,(1180–800 BC) ),ТАБАЛ,"ТАБАЛ (1180–800 BC) Государство, рабовладельческое, монархическое. Образовано хеттами на терр. совр.Турции. Вошло в состав Ассириии",Турция
849,(AD 1991–),ТАДЖИКИСТАН,"ТАДЖИКИСТАН (AD 1991–) Государство, республика (Республика Таджикистан). Зародилось на терр. совр. Таджикистана в результате распада СССР. Столица — Душанбе",Таджикистан
